,auctionStatus,operationId,operationDate,operationType,operationDirection,method,releaseTime,closeTime,classType,note,totalSubmittedOrigFace,totalAcceptedOrigFace,totalSubmittedCurrFace,totalAcceptedCurrFace,totalAmtSubmittedPar,totalAmtAcceptedPar,settlementDate,lastUpdated
0,Results,OR 052523 1,2023-05-25,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,C,,826000000,86855765,660871704.35,69281814.82335432,,,2023-07-20,2023-05-25 14:31:38
1,Results,OR 051823 1,2023-05-18,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,A,,856000000,79752289,746697183.86,69087959.84748809,,,2023-06-13,2023-05-18 14:31:05
2,Results,SW 051023 1,2023-05-10,Coupon Swap,,,,,,,,,,,,15000000,,2023-05-10 16:54:44
3,Results,OR 041123 1,2023-04-11,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,475000000,59000000,2023-05-18,2023-04-11 11:50:57
4,Results,OR 040423 1,2023-04-04,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,376000000,26000000,2023-05-16,2023-04-04 11:50:47
5,Results,OR 031623 1,2023-03-16,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,663000000,65000000,2023-04-13,2023-03-16 11:50:45
6,Results,RL 030723 1,2023-03-07,Dollar Roll,,,,,,,,,,,,15000000,,2023-03-07 16:09:19
7,Results,OR 020823 1,2023-02-08,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,674000000,52000000,2023-03-21,2023-02-08 11:51:11
8,Results,OR 020223 1,2023-02-02,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,254000000,23000000,2023-03-16,2023-02-02 11:50:42
9,Results,OR 012523 1,2023-01-25,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,812000000,75000000,2023-02-13,2023-01-25 11:51:05
10,Results,OR 120822 1,2022-12-08,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,A,,2858000000,314106284,999773634.22,100727709.78372855,,,2022-12-13,2022-12-08 14:30:51
11,Results,OR 111722 1,2022-11-17,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,A,,22000000,22000000,21906294.3,21906294.3,,,2022-12-13,2022-11-17 14:31:47
12,Results,SW 100622 1,2022-10-06,Coupon Swap,,,,,,,,,,,,20000000,,2022-10-06 16:53:50
13,Results,OR 091422 1,2022-09-14,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2668000000,387000000,2022-10-20,2022-09-14 10:21:31
14,Results,OR 091222 1,2022-09-12,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,2680000000,754000000,2022-10-13,2022-09-12 11:51:17
15,Results,OR 090822 1,2022-09-08,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2560000000,386000000,2022-10-20,2022-09-08 10:20:47
16,Results,OR 090722 1,2022-09-07,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1144000000,122000000,2022-10-18,2022-09-07 10:20:42
17,Results,OR 090622 1,2022-09-06,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3949000000,756000000,2022-10-13,2022-09-06 11:50:43
18,Results,OR 090122 1,2022-09-01,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,2511000000,756000000,2022-10-13,2022-09-01 11:50:40
19,Results,OR 083122 1,2022-08-31,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2850000000,386000000,2022-09-21,2022-08-31 10:20:55
20,Results,OR 083022 1,2022-08-30,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,824000000,101000000,2022-09-19,2022-08-30 10:20:41
21,Results,OR 082922 1,2022-08-29,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3010000000,756000000,2022-09-14,2022-08-29 11:50:36
22,Results,OR 082522 1,2022-08-25,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2848000000,777000000,2022-09-14,2022-08-25 10:20:40
23,Results,OR 082422 1,2022-08-24,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3160000000,445000000,2022-09-21,2022-08-24 10:20:51
24,Results,OR 082222 1,2022-08-22,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,940000000,169000000,2022-09-19,2022-08-22 10:21:07
25,Results,OR 081822 1,2022-08-18,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3308000000,776000000,2022-09-14,2022-08-18 10:20:48
26,Results,OR 081722 1,2022-08-17,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2946000000,446000000,2022-09-21,2022-08-17 10:20:40
27,Results,RL 081522 1,2022-08-15,Dollar Roll,,,,,,,,,,,,600000000,,2022-08-15 16:29:05
28,Results,OR 081522 1,2022-08-15,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3913000000,776000000,2022-09-14,2022-08-15 10:20:36
29,Results,RL 081222 1,2022-08-12,Dollar Roll,,,,,,,,,,,,100000000,,2022-08-12 14:39:38
30,Results,OR 081122 1,2022-08-11,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3021000000,497000000,2022-09-21,2022-08-11 10:20:37
31,Results,OR 081022 1,2022-08-10,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,2104000000,840000000,2022-09-14,2022-08-10 11:50:54
32,Results,OR 080922 1,2022-08-09,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1308000000,149000000,2022-09-19,2022-08-09 11:50:45
33,Results,OR 080822 1,2022-08-08,Outright TBA Purchase,P,Multiple Price,10:02,10:20,A,,,,,,2079000000,837000000,2022-09-14,2022-08-08 10:20:46
34,Results,OR 080522 1,2022-08-05,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,1670000000,837000000,2022-09-14,2022-08-05 11:50:42
35,Results,OR 080422 1,2022-08-04,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3054000000,497000000,2022-09-21,2022-08-04 10:20:41
36,Results,OR 080322 1,2022-08-03,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2498000000,839000000,2022-09-14,2022-08-03 10:20:40
37,Results,OR 080222 1,2022-08-02,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2760000000,497000000,2022-09-21,2022-08-02 10:20:46
38,Results,OR 080122 1,2022-08-01,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2581000000,839000000,2022-09-14,2022-08-01 10:20:57
39,Results,OR 072922 1,2022-07-29,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,743000000,151000000,2022-09-19,2022-07-29 10:20:39
40,Results,OR 072822 1,2022-07-28,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2431000000,830000000,2022-09-14,2022-07-28 10:20:36
41,Results,OR 072722 1,2022-07-27,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3615000000,832000000,2022-09-14,2022-07-27 10:20:42
42,Results,OR 072622 1,2022-07-26,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3961000000,492000000,2022-09-21,2022-07-26 10:20:37
43,Results,OR 072522 1,2022-07-25,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2912000000,832000000,2022-09-14,2022-07-25 10:20:47
44,Results,OR 072222 1,2022-07-22,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1054000000,180000000,2022-08-16,2022-07-22 10:20:50
45,Results,OR 072122 1,2022-07-21,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3178000000,493000000,2022-08-18,2022-07-21 10:20:45
46,Results,OR 072022 1,2022-07-20,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3625000000,832000000,2022-08-11,2022-07-20 10:20:42
47,Results,RL 071922 1,2022-07-19,Dollar Roll,,,,,,,,,,,,1000000000,,2022-07-19 16:34:43
48,Results,OR 071922 1,2022-07-19,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3449000000,493000000,2022-08-18,2022-07-19 11:50:43
49,Results,RL 071822 1,2022-07-18,Dollar Roll,,,,,,,,,,,,1000000000,,2022-07-18 16:38:47
50,Results,OR 071822 1,2022-07-18,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2360000000,832000000,2022-08-11,2022-07-18 10:20:44
51,Results,OR 071522 1,2022-07-15,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1148000000,180000000,2022-08-16,2022-07-15 11:50:36
52,Results,RL 071422 1,2022-07-14,Dollar Roll,,,,,,,,,,,,300000000,,2022-07-14 15:23:53
53,Results,OR 071422 1,2022-07-14,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,2320000000,529000000,2022-08-18,2022-07-14 11:50:45
54,Results,OR 071322 1,2022-07-13,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,1945000000,924000000,2022-08-11,2022-07-13 10:24:25
55,Results,OR 071222 1,2022-07-12,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3250000000,531000000,2022-08-18,2022-07-12 11:50:44
56,Results,OR 071122 1,2022-07-11,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3174000000,922000000,2022-08-11,2022-07-11 10:20:45
57,Results,RL 070822 1,2022-07-08,Dollar Roll,,,,,,,,,,,,2000000000,,2022-07-08 14:42:02
58,Results,OR 070822 1,2022-07-08,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1252000000,311000000,2022-08-16,2022-07-08 10:20:50
59,Results,OR 070722 1,2022-07-07,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3226000000,922000000,2022-08-11,2022-07-07 10:20:55
60,Results,OR 070622 1,2022-07-06,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2925000000,531000000,2022-08-18,2022-07-06 10:22:09
61,Results,OR 070522 1,2022-07-05,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2429000000,922000000,2022-08-11,2022-07-05 10:20:45
62,Results,OR 063022 1,2022-06-30,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1331000000,313000000,2022-08-16,2022-06-30 10:21:10
63,Results,OR 062922 1,2022-06-29,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3603000000,922000000,2022-08-11,2022-06-29 10:20:58
64,Results,OR 062822 1,2022-06-28,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2265000000,484000000,2022-08-18,2022-06-28 10:20:36
65,Results,OR 062722 1,2022-06-27,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3109000000,719000000,2022-08-11,2022-06-27 10:20:49
66,Results,OR 062422 1,2022-06-24,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1210000000,284000000,2022-08-16,2022-06-24 10:20:41
67,Results,OR 062322 1,2022-06-23,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2496000000,917000000,2022-08-11,2022-06-23 10:20:42
68,Results,OR 062222 1,2022-06-22,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2321000000,482000000,2022-08-18,2022-06-22 10:21:25
69,Results,OR 062122 1,2022-06-21,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2485000000,718000000,2022-08-11,2022-06-21 10:20:40
70,Results,RL 061722 1,2022-06-17,Dollar Roll,,,,,,,,,,,,400000000,,2022-06-17 14:21:48
71,Results,OR 061722 1,2022-06-17,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1511000000,284000000,2022-07-18,2022-06-17 11:51:00
72,Results,RL 061622 1,2022-06-16,Dollar Roll,,,,,,,,,,,,1360000000,,2022-06-16 16:08:29
73,Results,OR 061622 1,2022-06-16,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3028000000,920000000,2022-07-14,2022-06-16 10:21:00
74,Results,RL 061522 1,2022-06-15,Dollar Roll,,,,,,,,,,,,3200000000,,2022-06-15 16:13:26
75,Results,OR 061522 1,2022-06-15,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2640000000,482000000,2022-07-21,2022-06-15 10:20:58
76,Results,OR 061422 1,2022-06-14,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4536000000,920000000,2022-07-14,2022-06-14 11:50:55
77,Results,RL 061322 1,2022-06-13,Dollar Roll,,,,,,,,,,,,900000000,,2022-06-13 16:14:52
78,Results,OR 061322 1,2022-06-13,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3440000000,584000000,2022-07-21,2022-06-13 10:20:36
79,Results,OR 061322 2,2022-06-13,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4530000000,1122000000,2022-07-14,2022-06-13 11:50:49
80,Results,OR 061022 1,2022-06-10,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,5005000000,1125000000,2022-07-14,2022-06-10 10:20:51
81,Results,OR 061022 2,2022-06-10,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3330000000,586000000,2022-07-21,2022-06-10 11:50:47
82,Results,OR 060922 1,2022-06-09,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1418000000,544000000,2022-07-18,2022-06-09 11:51:42
83,Results,OR 060922 2,2022-06-09,Outright TBA Purchase,P,Multiple Price,13:00,13:20,A,,,,,,3562000000,1125000000,2022-07-14,2022-06-09 13:20:45
84,Results,RL 060822 1,2022-06-08,Dollar Roll,,,,,,,,,,,,4000000000,,2022-06-08 16:12:47
85,Results,OR 060822 1,2022-06-08,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,3543000000,1125000000,2022-07-14,2022-06-08 10:20:47
86,Results,OR 060822 2,2022-06-08,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3135000000,586000000,2022-07-21,2022-06-08 11:50:40
87,Results,OR 060822 3,2022-06-08,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,C,,1241000000,112389413,892684192.72,81000000.41168416,,,2022-06-22,2022-06-08 14:30:43
88,Results,OR 060722 1,2022-06-07,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,2889000000,1125000000,2022-07-14,2022-06-07 10:20:35
89,Results,OR 060722 2,2022-06-07,Outright TBA Purchase,P,Multiple Price,11:30,11:50,B,,,,,,1476000000,543000000,2022-07-18,2022-06-07 11:50:30
90,Results,OR 060722 3,2022-06-07,Outright Specified Pool Sale,S,Multiple Price,14:00,14:30,A,,883000000,89929842,799494732.54,80999999.55743648,,,2022-06-13,2022-06-07 14:30:58
91,Results,OR 060622 1,2022-06-06,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,2808000000,586000000,2022-07-21,2022-06-06 10:21:01
92,Results,OR 060622 2,2022-06-06,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,4810000000,1125000000,2022-07-14,2022-06-06 11:50:41
93,Results,OR 060322 1,2022-06-03,Outright TBA Purchase,P,Multiple Price,10:00,10:20,C,,,,,,3088000000,586000000,2022-07-21,2022-06-03 10:20:46
94,Results,OR 060322 2,2022-06-03,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3661000000,1125000000,2022-07-14,2022-06-03 11:50:36
95,Results,SW 060222 1,2022-06-02,Coupon Swap,,,,,,,,,,,,20000000,,2022-06-02 16:10:17
96,Results,OR 060222 1,2022-06-02,Outright TBA Purchase,P,Multiple Price,10:00,10:20,A,,,,,,4352000000,1125000000,2022-07-14,2022-06-02 10:20:42
97,Results,OR 060222 2,2022-06-02,Outright TBA Purchase,P,Multiple Price,11:30,11:50,C,,,,,,3498000000,586000000,2022-07-21,2022-06-02 11:50:41
98,Results,OR 060122 1,2022-06-01,Outright TBA Purchase,P,Multiple Price,10:00,10:20,B,,,,,,1929000000,543000000,2022-07-18,2022-06-01 10:21:00
99,Results,OR 060122 2,2022-06-01,Outright TBA Purchase,P,Multiple Price,11:30,11:50,A,,,,,,3933000000,1125000000,2022-07-14,2022-06-01 11:50:50
