,operationId,auctionStatus,operationDate,settlementDate,maturityDate,operationType,operationMethod,settlementType,termCalenderDays,term,releaseTime,closeTime,note,lastUpdated,participatingCpty,acceptedCpty,totalAmtSubmitted,totalAmtAccepted
118,RP 032823 2,Results,2023-03-28,2023-03-28,2023-03-29,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-28 13:45:52,,,7000000,7000000
119,RP 032723 1,Results,2023-03-27,2023-03-27,2023-03-28,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-27 13:15:48,98.0,98.0,2220131000000,2220131000000
120,RP 032723 2,Results,2023-03-27,2023-03-27,2023-03-28,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-27 13:45:35,,,0,0
121,RP 032423 1,Results,2023-03-24,2023-03-24,2023-03-27,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-24 13:15:54,100.0,100.0,2218458000000,2218458000000
122,RP 032423 2,Results,2023-03-24,2023-03-24,2023-03-27,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-24 13:45:49,,,0,0
123,RP 032323 1,Results,2023-03-23,2023-03-23,2023-03-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-23 13:15:49,99.0,99.0,2233956000000,2233956000000
124,RP 032323 2,Results,2023-03-23,2023-03-23,2023-03-24,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-23 13:45:48,,,4000000,4000000
125,RP 032223 1,Results,2023-03-22,2023-03-22,2023-03-23,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-22 13:16:16,104.0,104.0,2279608000000,2279608000000
126,RP 032223 2,Results,2023-03-22,2023-03-22,2023-03-23,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,The settled amount is $7 million less than the accepted amount due to unsettled trades.,2023-03-22 17:22:00,,,7000000,7000000
127,RP 032123 1,Results,2023-03-21,2023-03-21,2023-03-22,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-21 13:16:01,104.0,104.0,2194631000000,2194631000000
128,RP 032123 2,Results,2023-03-21,2023-03-21,2023-03-22,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-21 13:45:50,,,1000000,1000000
129,RP 032023 1,Results,2023-03-20,2023-03-20,2023-03-21,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-20 13:16:36,97.0,97.0,2098393000000,2098393000000
130,RP 032023 2,Results,2023-03-20,2023-03-20,2023-03-21,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-20 13:45:53,,,1000000,1000000
131,RP 031723 1,Results,2023-03-17,2023-03-17,2023-03-20,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-17 13:15:57,97.0,97.0,2106166000000,2106166000000
132,RP 031723 2,Results,2023-03-17,2023-03-17,2023-03-20,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-17 13:46:01,,,0,0
133,RP 031623 1,Results,2023-03-16,2023-03-16,2023-03-17,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-16 13:16:10,103.0,103.0,2066319000000,2066319000000
134,RP 031623 2,Results,2023-03-16,2023-03-16,2023-03-17,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-16 13:45:47,,,0,0
135,RP 031523 1,Results,2023-03-15,2023-03-15,2023-03-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-15 13:15:46,101.0,101.0,2055823000000,2055823000000
136,RP 031523 2,Results,2023-03-15,2023-03-15,2023-03-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-15 13:45:28,,,0,0
137,RP 031423 1,Results,2023-03-14,2023-03-14,2023-03-15,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-14 13:15:38,95.0,95.0,2042579000000,2042579000000
138,RP 031423 2,Results,2023-03-14,2023-03-14,2023-03-15,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-14 13:45:38,,,0,0
139,RP 031323 1,Results,2023-03-13,2023-03-13,2023-03-14,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-13 13:15:46,97.0,97.0,2126677000000,2126677000000
140,RP 031323 2,Results,2023-03-13,2023-03-13,2023-03-14,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-13 13:45:50,,,0,0
141,RP 031023 1,Results,2023-03-10,2023-03-10,2023-03-13,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-10 13:15:46,100.0,100.0,2188375000000,2188375000000
142,RP 031023 2,Results,2023-03-10,2023-03-10,2023-03-13,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-10 13:45:44,,,0,0
143,RP 030923 1,Results,2023-03-09,2023-03-09,2023-03-10,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-09 13:16:04,101.0,101.0,2229623000000,2229623000000
144,RP 030923 2,Results,2023-03-09,2023-03-09,2023-03-10,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-09 13:46:29,,,3000000,3000000
145,RP 030823 1,Results,2023-03-08,2023-03-09,2023-03-13,Repo,Multiple Price,1 Day ,5,Term,10:30,10:45,,2023-03-08 10:48:06,,,56000000,56000000
146,RP 030823 2,Results,2023-03-08,2023-03-08,2023-03-09,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-08 13:16:58,102.0,102.0,2193237000000,2193237000000
147,RP 030823 3,Results,2023-03-08,2023-03-08,2023-03-09,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-08 13:45:51,,,0,0
148,RP 030723 1,Results,2023-03-07,2023-03-07,2023-03-08,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-07 13:16:12,101.0,101.0,2170195000000,2170195000000
149,RP 030723 2,Results,2023-03-07,2023-03-07,2023-03-08,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-07 13:46:03,,,0,0
150,RP 030623 1,Results,2023-03-06,2023-03-06,2023-03-07,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-06 13:17:16,101.0,101.0,2190793000000,2190793000000
151,RP 030623 2,Results,2023-03-06,2023-03-06,2023-03-07,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-06 13:45:44,,,2000000,2000000
152,RP 030323 1,Results,2023-03-03,2023-03-03,2023-03-06,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-03 13:15:58,103.0,103.0,2186150000000,2186150000000
153,RP 030323 2,Results,2023-03-03,2023-03-03,2023-03-06,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-03 13:45:55,,,4000000,4000000
154,RP 030223 1,Results,2023-03-02,2023-03-02,2023-03-03,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-02 13:15:49,99.0,99.0,2192355000000,2192355000000
155,RP 030223 2,Results,2023-03-02,2023-03-02,2023-03-03,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-02 13:46:07,,,0,0
156,RP 030123 1,Results,2023-03-01,2023-03-01,2023-03-02,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-01 13:15:50,100.0,100.0,2133950000000,2133950000000
157,RP 030123 2,Results,2023-03-01,2023-03-01,2023-03-02,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-01 13:45:44,,,0,0
158,RP 022823 1,Results,2023-02-28,2023-02-28,2023-03-01,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-28 13:15:57,107.0,107.0,2188035000000,2188035000000
159,RP 022823 2,Results,2023-02-28,2023-02-28,2023-03-01,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-28 13:45:57,,,0,0
160,RP 022723 1,Results,2023-02-27,2023-02-27,2023-02-28,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-27 13:15:51,110.0,110.0,2162435000000,2162435000000
161,RP 022723 2,Results,2023-02-27,2023-02-27,2023-02-28,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-27 13:46:01,,,2000000,2000000
162,RP 022423 1,Results,2023-02-24,2023-02-24,2023-02-27,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-02-24 13:15:48,104.0,104.0,2142141000000,2142141000000
163,RP 022423 2,Results,2023-02-24,2023-02-24,2023-02-27,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-02-24 13:45:41,,,0,0
164,RP 022323 1,Results,2023-02-23,2023-02-23,2023-02-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-23 13:16:05,102.0,102.0,2147417000000,2147417000000
165,RP 022323 2,Results,2023-02-23,2023-02-23,2023-02-24,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-23 13:46:05,,,2000000,2000000
166,RP 022223 1,Results,2023-02-22,2023-02-22,2023-02-23,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-22 13:16:12,100.0,100.0,2113849000000,2113849000000
167,RP 022223 2,Results,2023-02-22,2023-02-22,2023-02-23,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-22 13:45:47,,,0,0
168,RP 022123 1,Results,2023-02-21,2023-02-21,2023-02-22,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-21 13:16:16,100.0,100.0,2046064000000,2046064000000
169,RP 022123 2,Results,2023-02-21,2023-02-21,2023-02-22,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-21 13:46:10,,,1000000,1000000
170,RP 021723 1,Results,2023-02-17,2023-02-17,2023-02-21,Reverse Repo,Fixed Rate,Same Day,4,Overnight,12:45,13:15,,2023-02-17 13:15:50,98.0,98.0,2059662000000,2059662000000
171,RP 021723 2,Results,2023-02-17,2023-02-17,2023-02-21,Repo,Multiple Price,Same Day,4,Overnight,13:30,13:45,,2023-02-17 13:45:47,,,0,0
172,RP 021623 1,Results,2023-02-16,2023-02-16,2023-02-17,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-16 13:16:13,98.0,98.0,2032457000000,2032457000000
173,RP 021623 2,Results,2023-02-16,2023-02-16,2023-02-17,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-16 13:46:03,,,0,0
174,RP 021523 1,Results,2023-02-15,2023-02-15,2023-02-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:44,13:15,,2023-02-15 13:16:21,96.0,96.0,2011998000000,2011998000000
175,RP 021523 2,Results,2023-02-15,2023-02-15,2023-02-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-15 13:46:00,,,0,0
176,RP 021423 1,Results,2023-02-14,2023-02-14,2023-02-15,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-14 13:15:49,109.0,109.0,2076548000000,2076548000000
177,RP 021423 2,Results,2023-02-14,2023-02-14,2023-02-15,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-14 13:45:33,,,0,0
178,RP 021323 1,Results,2023-02-13,2023-02-13,2023-02-14,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-13 13:15:57,102.0,102.0,2107775000000,2107775000000
179,RP 021323 2,Results,2023-02-13,2023-02-13,2023-02-14,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-13 13:45:51,,,0,0
180,RP 021023 1,Results,2023-02-10,2023-02-10,2023-02-13,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:44,13:15,,2023-02-10 13:15:58,97.0,97.0,2042893000000,2042893000000
181,RP 021023 2,Results,2023-02-10,2023-02-10,2023-02-13,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-02-10 13:45:47,,,0,0
182,RP 020923 1,Results,2023-02-09,2023-02-09,2023-02-10,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-09 13:15:59,101.0,101.0,2058942000000,2058942000000
183,RP 020923 2,Results,2023-02-09,2023-02-09,2023-02-10,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-09 13:45:48,,,0,0
184,RP 020823 1,Results,2023-02-08,2023-02-08,2023-02-09,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-08 13:16:04,103.0,103.0,2059604000000,2059604000000
185,RP 020823 2,Results,2023-02-08,2023-02-08,2023-02-09,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-08 13:45:49,,,1000000,1000000
186,RP 020723 1,Results,2023-02-07,2023-02-07,2023-02-08,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-07 13:15:51,104.0,104.0,2057958000000,2057958000000
187,RP 020723 2,Results,2023-02-07,2023-02-07,2023-02-08,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-07 13:45:45,,,1000000,1000000
188,RP 020623 1,Results,2023-02-06,2023-02-06,2023-02-07,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-06 13:15:54,103.0,103.0,2072261000000,2072261000000
189,RP 020623 2,Results,2023-02-06,2023-02-06,2023-02-07,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-06 13:45:37,,,0,0
190,RP 020323 1,Results,2023-02-03,2023-02-03,2023-02-06,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-02-03 13:15:46,103.0,103.0,2041217000000,2041217000000
191,RP 020323 2,Results,2023-02-03,2023-02-03,2023-02-06,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-02-03 13:45:37,,,0,0
192,RP 020223 1,Results,2023-02-02,2023-02-02,2023-02-03,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-02 13:15:58,101.0,101.0,2050063000000,2050063000000
193,RP 020223 2,Results,2023-02-02,2023-02-02,2023-02-03,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-02 13:46:01,,,1000000,1000000
194,RP 020123 1,Results,2023-02-01,2023-02-01,2023-02-02,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-02-01 13:15:49,100.0,100.0,2038262000000,2038262000000
195,RP 020123 2,Results,2023-02-01,2023-02-01,2023-02-02,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-02-01 13:46:22,,,11000000,11000000
196,RP 013123 1,Results,2023-01-31,2023-01-31,2023-02-01,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-31 13:15:46,104.0,104.0,2061572000000,2061572000000
197,RP 013123 2,Results,2023-01-31,2023-01-31,2023-02-01,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-31 13:45:35,,,3000000,3000000
198,RP 013023 1,Results,2023-01-30,2023-01-30,2023-01-31,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-30 13:15:59,106.0,106.0,2048714000000,2048714000000
199,RP 013023 2,Results,2023-01-30,2023-01-30,2023-01-31,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-30 13:45:32,,,0,0
200,RP 012723 1,Results,2023-01-27,2023-01-27,2023-01-30,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-01-27 13:18:47,96.0,96.0,2003634000000,2003634000000
201,RP 012723 2,Results,2023-01-27,2023-01-27,2023-01-30,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-01-27 13:45:44,,,0,0
202,RP 012623 1,Results,2023-01-26,2023-01-26,2023-01-27,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-26 13:15:36,97.0,97.0,2024069000000,2024069000000
203,RP 012623 2,Results,2023-01-26,2023-01-26,2023-01-27,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-26 13:45:27,,,0,0
204,RP 012523 1,Results,2023-01-25,2023-01-25,2023-01-26,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-25 13:16:02,99.0,99.0,2031561000000,2031561000000
205,RP 012523 2,Results,2023-01-25,2023-01-25,2023-01-26,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-25 13:45:44,,,0,0
206,RP 012423 1,Results,2023-01-24,2023-01-24,2023-01-25,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:44,13:15,,2023-01-24 13:16:23,100.0,100.0,2048386000000,2048386000000
207,RP 012423 2,Results,2023-01-24,2023-01-24,2023-01-25,Repo,Multiple Price,Same Day,1,Overnight,13:29,13:45,,2023-01-24 13:45:48,,,1000000,1000000
208,RP 012323 1,Results,2023-01-23,2023-01-23,2023-01-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-23 13:16:24,105.0,105.0,2135499000000,2135499000000
209,RP 012323 2,Results,2023-01-23,2023-01-23,2023-01-24,Repo,Multiple Price,Same Day,1,Overnight,13:29,13:45,,2023-01-23 13:45:54,,,0,0
210,RP 012023 1,Results,2023-01-20,2023-01-20,2023-01-23,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-01-20 13:15:32,98.0,98.0,2090523000000,2090523000000
211,RP 012023 2,Results,2023-01-20,2023-01-20,2023-01-23,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-01-20 13:45:27,,,3000000,3000000
212,RP 011923 1,Results,2023-01-19,2023-01-19,2023-01-20,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-19 13:15:35,100.0,100.0,2110145000000,2110145000000
213,RP 011923 2,Results,2023-01-19,2023-01-19,2023-01-20,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-19 13:45:29,,,3000000,3000000
214,RP 011823 1,Results,2023-01-18,2023-01-18,2023-01-19,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-18 13:15:31,103.0,103.0,2131678000000,2131678000000
215,RP 011823 2,Results,2023-01-18,2023-01-18,2023-01-19,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-18 13:45:27,,,1000000,1000000
216,RP 011723 1,Results,2023-01-17,2023-01-17,2023-01-18,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-17 13:15:41,103.0,103.0,2093328000000,2093328000000
217,RP 011723 2,Results,2023-01-17,2023-01-17,2023-01-18,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-17 13:45:32,,,3000000,3000000
218,RP 011323 1,Results,2023-01-13,2023-01-13,2023-01-17,Reverse Repo,Fixed Rate,Same Day,4,Overnight,12:45,13:15,,2023-01-13 13:15:53,103.0,103.0,2179781000000,2179781000000
219,RP 011323 2,Results,2023-01-13,2023-01-13,2023-01-17,Repo,Multiple Price,Same Day,4,Overnight,13:30,13:45,,2023-01-13 13:45:48,,,0,0
220,RP 011223 1,Results,2023-01-12,2023-01-12,2023-01-13,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-12 13:15:54,101.0,101.0,2202989000000,2202989000000
221,RP 011223 2,Results,2023-01-12,2023-01-12,2023-01-13,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-12 13:45:48,,,0,0
222,RP 011123 1,Results,2023-01-11,2023-01-11,2023-01-12,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-11 13:15:47,99.0,99.0,2199170000000,2199170000000
223,RP 011123 2,Results,2023-01-11,2023-01-11,2023-01-12,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-11 13:45:44,,,0,0
224,RP 011023 1,Results,2023-01-10,2023-01-10,2023-01-11,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-10 13:15:51,102.0,102.0,2192942000000,2192942000000
225,RP 011023 2,Results,2023-01-10,2023-01-10,2023-01-11,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-10 13:45:46,,,0,0
226,RP 010923 1,Results,2023-01-09,2023-01-09,2023-01-10,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-09 13:15:56,103.0,103.0,2199121000000,2199121000000
227,RP 010923 2,Results,2023-01-09,2023-01-09,2023-01-10,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-09 13:45:40,,,0,0
228,RP 010623 1,Results,2023-01-06,2023-01-06,2023-01-09,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-01-06 13:15:40,100.0,100.0,2208265000000,2208265000000
229,RP 010623 2,Results,2023-01-06,2023-01-06,2023-01-09,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-01-06 13:45:31,,,1000000,1000000
230,RP 010523 1,Results,2023-01-05,2023-01-05,2023-01-06,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,The settled amount is $3.6 billion less than the accepted amount due to unsettled trades.,2023-01-13 16:57:00,106.0,106.0,2242486000000,2242486000000
231,RP 010523 2,Results,2023-01-05,2023-01-05,2023-01-06,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-05 13:45:25,,,0,0
232,RP 010423 1,Results,2023-01-04,2023-01-04,2023-01-05,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-04 13:15:42,108.0,108.0,2229542000000,2229542000000
233,RP 010423 2,Results,2023-01-04,2023-01-04,2023-01-05,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-04 13:45:32,,,1000000,1000000
234,RP 010323 1,Results,2023-01-03,2023-01-03,2023-01-04,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-01-03 13:15:47,99.0,99.0,2188272000000,2188272000000
235,RP 010323 2,Results,2023-01-03,2023-01-03,2023-01-04,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-01-03 13:45:30,,,0,0
