,date,ticker,price,amount_ftd,t35_date,dollar_cost
0,2023-05-31,N/A,24.57,23933.0,2023-07-05,588033
1,2023-05-26,N/A,23.35,175.0,2023-06-30,4086
2,2023-05-25,N/A,23.27,11050.0,2023-06-29,257133
3,2023-05-24,N/A,23.16,67596.0,2023-06-28,1565523
4,2023-05-23,N/A,24.21,16528.0,2023-06-27,400142
5,2023-05-22,N/A,22.06,11366.0,2023-06-26,250733
6,2023-05-19,N/A,23.05,22247.0,2023-06-23,512793
7,2023-05-18,N/A,22.87,35760.0,2023-06-22,817831
8,2023-05-17,N/A,21.99,5263.0,2023-06-21,115733
9,2023-05-16,N/A,21.62,88291.0,2023-06-20,1908851
10,2023-05-15,N/A,20.69,28621.0,2023-06-19,592168
11,2023-05-12,N/A,20.88,17127.0,2023-06-16,357611
12,2023-05-11,N/A,20.76,38843.0,2023-06-15,806380
13,2023-05-10,N/A,20.24,132481.0,2023-06-14,2681415
14,2023-05-09,N/A,20.51,75872.0,2023-06-13,1556134
15,2023-05-08,N/A,20.42,30434.0,2023-06-12,621462
16,2023-05-05,N/A,19.35,17071.0,2023-06-09,330323
17,2023-05-04,N/A,18.90,64280.0,2023-06-08,1214892
18,2023-05-03,N/A,18.58,2646.0,2023-06-07,49162
19,2023-05-02,N/A,18.55,17122.0,2023-06-06,317613
20,2023-05-01,N/A,19.29,5257.0,2023-06-05,101407
21,2023-04-28,N/A,18.94,40.0,2023-06-02,757
22,2023-04-27,N/A,18.65,5.0,2023-06-01,93
23,2023-04-26,N/A,19.00,26693.0,2023-05-31,507167
24,2023-04-25,N/A,19.93,49156.0,2023-05-30,979679
25,2023-04-24,N/A,20.49,111485.0,2023-05-29,2284327
26,2023-04-21,N/A,20.22,149212.0,2023-05-26,3017066
27,2023-04-19,N/A,21.61,17345.0,2023-05-24,374825
28,2023-04-18,N/A,22.28,17587.0,2023-05-23,391838
29,2023-04-17,N/A,22.46,4576.0,2023-05-22,102776
30,2023-04-14,N/A,22.55,37712.0,2023-05-19,850405
31,2023-04-13,N/A,22.26,28399.0,2023-05-18,632161
32,2023-04-12,N/A,22.69,86582.0,2023-05-17,1964545
33,2023-04-11,N/A,22.37,12667.0,2023-05-16,283360
34,2023-04-10,N/A,22.40,15619.0,2023-05-15,349865
35,2023-04-06,N/A,22.07,9083.0,2023-05-11,200461
36,2023-04-05,N/A,22.35,35767.0,2023-05-10,799392
37,2023-04-04,N/A,23.17,12657.0,2023-05-09,293262
38,2023-04-03,N/A,23.02,175430.0,2023-05-08,4038398
39,2023-03-31,N/A,22.50,114870.0,2023-05-05,2584575
40,2023-03-30,N/A,22.46,57685.0,2023-05-04,1295605
41,2023-03-29,N/A,23.15,137770.0,2023-05-03,3189375
42,2023-03-28,N/A,23.00,103297.0,2023-05-02,2375831
43,2023-03-27,N/A,23.98,476428.0,2023-05-01,11424743
44,2023-03-24,N/A,22.58,624571.0,2023-04-28,14102813
45,2023-03-23,N/A,23.87,209129.0,2023-04-27,4991909
46,2023-03-22,N/A,17.65,159820.0,2023-04-26,2820823
47,2023-03-21,N/A,16.87,139946.0,2023-04-25,2360889
48,2023-03-20,N/A,16.60,80666.0,2023-04-24,1339055
49,2023-03-17,N/A,16.76,175213.0,2023-04-21,2936569
50,2023-03-16,N/A,15.95,183159.0,2023-04-20,2921386
51,2023-03-15,N/A,16.91,9756.0,2023-04-19,164973
52,2023-03-14,N/A,16.75,28513.0,2023-04-18,477592
53,2023-03-13,N/A,17.25,1539.0,2023-04-17,26547
54,2023-03-10,N/A,17.52,1789.0,2023-04-14,31343
55,2023-03-08,N/A,18.06,1619.0,2023-04-12,29239
56,2023-03-07,N/A,18.65,22600.0,2023-04-11,421489
57,2023-03-06,N/A,18.70,919.0,2023-04-10,17185
58,2023-03-03,N/A,18.19,9935.0,2023-04-07,180717
59,2023-03-02,N/A,18.15,21815.0,2023-04-06,395942
60,2023-02-24,N/A,20.14,23229.0,2023-03-31,467832
61,2023-02-23,N/A,20.52,15877.0,2023-03-30,325796
62,2023-02-22,N/A,20.66,28404.0,2023-03-29,586826
63,2023-02-21,N/A,21.99,20529.0,2023-03-28,451432
64,2023-02-17,N/A,21.60,245596.0,2023-03-24,5304873
65,2023-02-16,N/A,21.80,4413.0,2023-03-23,96203
66,2023-02-15,N/A,19.87,36745.0,2023-03-22,730123
67,2023-02-14,N/A,19.69,14177.0,2023-03-21,279145
68,2023-02-13,N/A,19.27,12979.0,2023-03-20,250105
69,2023-02-09,N/A,21.10,241118.0,2023-03-16,5087589
70,2023-02-08,N/A,21.22,66290.0,2023-03-15,1406673
71,2023-02-07,N/A,23.86,91209.0,2023-03-14,2176246
72,2023-02-06,N/A,22.25,167984.0,2023-03-13,3737644
73,2023-02-03,N/A,22.70,5852.0,2023-03-10,132840
74,2023-02-02,N/A,21.83,77079.0,2023-03-09,1682634
75,2023-02-01,N/A,21.87,43242.0,2023-03-08,945702
76,2023-01-31,N/A,21.25,104164.0,2023-03-07,2213485
77,2023-01-30,N/A,22.82,22983.0,2023-03-06,524472
78,2023-01-27,N/A,20.01,167715.0,2023-03-03,3355977
79,2023-01-26,N/A,20.23,69337.0,2023-03-02,1402687
80,2023-01-25,N/A,21.40,100986.0,2023-03-01,2161100
81,2023-01-24,N/A,21.66,102735.0,2023-02-28,2225240
82,2023-01-23,N/A,19.61,70432.0,2023-02-27,1381171
83,2023-01-20,N/A,19.04,127556.0,2023-02-24,2428666
84,2023-01-19,N/A,20.79,268870.0,2023-02-23,5589807
85,2023-01-18,N/A,21.80,197495.0,2023-02-22,4305391
86,2023-01-17,N/A,20.49,108475.0,2023-02-21,2222652
87,2023-01-13,N/A,20.63,26102.0,2023-02-17,538484
88,2023-01-12,N/A,19.04,34980.0,2023-02-16,666019
89,2023-01-11,N/A,17.77,37587.0,2023-02-15,667920
90,2023-01-10,N/A,16.38,28732.0,2023-02-14,470630
91,2023-01-09,N/A,16.46,66520.0,2023-02-13,1094919
92,2023-01-06,N/A,16.22,6305.0,2023-02-10,102267
93,2023-01-05,N/A,17.32,164325.0,2023-02-09,2846109
94,2023-01-04,N/A,17.20,215679.0,2023-02-08,3709678
95,2023-01-03,N/A,18.46,310572.0,2023-02-07,5733159
96,2022-12-30,N/A,18.33,101825.0,2023-02-03,1866452
97,2022-12-29,N/A,17.92,262826.0,2023-02-02,4709841
98,2022-12-28,N/A,18.20,239808.0,2023-02-01,4364505
99,2022-12-27,N/A,20.08,132358.0,2023-01-31,2657748
100,2022-12-23,N/A,19.81,411456.0,2023-01-27,8150943
101,2022-12-22,N/A,20.56,596488.0,2023-01-26,12263793
102,2022-12-21,N/A,20.26,305223.0,2023-01-25,6183817
103,2022-12-20,N/A,19.92,597420.0,2023-01-24,11900606
104,2022-12-19,N/A,20.80,123059.0,2023-01-23,2559627
105,2022-12-16,N/A,20.58,27359.0,2023-01-20,563048
106,2022-12-15,N/A,21.05,9819.0,2023-01-19,206689
107,2022-12-14,N/A,21.00,3096.0,2023-01-18,65016
108,2022-12-13,N/A,22.67,34522.0,2023-01-17,782613
109,2022-12-12,N/A,22.63,86502.0,2023-01-16,1957540
110,2022-12-09,N/A,24.79,24470.0,2023-01-13,606611
111,2022-12-07,N/A,23.39,2508.0,2023-01-11,58662
112,2022-12-06,N/A,25.56,28469.0,2023-01-10,727667
113,2022-12-05,N/A,27.52,30760.0,2023-01-09,846515
114,2022-12-02,N/A,26.60,1105.0,2023-01-06,29393
115,2022-12-01,N/A,26.21,7996.0,2023-01-05,209575
116,2022-11-30,N/A,25.60,716.0,2023-01-04,18329
117,2022-11-29,N/A,25.29,4676.0,2023-01-03,118256
118,2022-11-28,N/A,26.17,44778.0,2023-01-02,1171840
119,2022-11-25,N/A,26.70,27959.0,2022-12-30,746505
120,2022-11-23,N/A,26.30,40473.0,2022-12-28,1064439
121,2022-11-22,N/A,25.16,146649.0,2022-12-27,3689688
122,2022-11-21,N/A,27.60,28296.0,2022-12-26,780969
123,2022-11-18,N/A,27.76,17157.0,2022-12-23,476278
124,2022-11-17,N/A,27.14,28670.0,2022-12-22,778103
125,2022-11-16,N/A,27.59,601.0,2022-12-21,16581
126,2022-11-15,N/A,26.05,59399.0,2022-12-20,1547343
127,2022-11-14,N/A,26.10,20237.0,2022-12-19,528185
128,2022-11-10,N/A,23.11,18192.0,2022-12-15,420417
129,2022-11-09,N/A,25.14,888.0,2022-12-14,22324
130,2022-11-08,N/A,25.76,258.0,2022-12-13,6646
131,2022-11-07,N/A,26.51,3003.0,2022-12-12,79609
132,2022-11-04,N/A,26.29,31260.0,2022-12-09,821825
133,2022-11-03,N/A,26.62,13475.0,2022-12-08,358704
134,2022-11-02,N/A,28.39,49719.0,2022-12-07,1411522
135,2022-11-01,N/A,28.31,40500.0,2022-12-06,1146555
136,2022-10-31,N/A,28.17,3530.0,2022-12-05,99440
137,2022-10-28,N/A,25.93,11345.0,2022-12-02,294175
138,2022-10-27,N/A,25.42,178623.0,2022-12-01,4540596
139,2022-10-25,N/A,24.71,5212.0,2022-11-29,128788
140,2022-10-24,N/A,25.30,21207.0,2022-11-28,536537
141,2022-10-21,N/A,24.41,35359.0,2022-11-25,863113
142,2022-10-20,N/A,24.54,28633.0,2022-11-24,702653
143,2022-10-19,N/A,26.67,38955.0,2022-11-23,1038929
144,2022-10-18,N/A,25.96,6788.0,2022-11-22,176216
145,2022-10-17,N/A,24.63,40799.0,2022-11-21,1004879
146,2022-10-14,N/A,25.56,18556.0,2022-11-18,474291
147,2022-10-13,N/A,25.36,22130.0,2022-11-17,561216
148,2022-10-12,N/A,25.27,4281.0,2022-11-16,108180
149,2022-10-11,N/A,25.00,35963.0,2022-11-15,899075
150,2022-10-07,N/A,25.99,87389.0,2022-11-11,2271240
151,2022-10-06,N/A,26.39,82512.0,2022-11-10,2177491
152,2022-10-05,N/A,27.60,56405.0,2022-11-09,1556778
153,2022-10-04,N/A,25.38,20121.0,2022-11-08,510670
154,2022-10-03,N/A,25.13,36541.0,2022-11-07,918275
155,2022-09-30,N/A,25.46,31108.0,2022-11-04,792009
156,2022-09-29,N/A,27.31,19253.0,2022-11-03,525799
157,2022-09-28,N/A,26.13,40245.0,2022-11-02,1051601
158,2022-09-27,N/A,24.48,5447.0,2022-11-01,133342
159,2022-09-26,N/A,25.04,11845.0,2022-10-31,296598
160,2022-09-23,N/A,24.70,8126.0,2022-10-28,200712
161,2022-09-22,N/A,26.86,9081.0,2022-10-27,243915
162,2022-09-21,N/A,27.54,75.0,2022-10-26,2065
163,2022-09-20,N/A,28.96,37695.0,2022-10-25,1091647
164,2022-09-19,N/A,28.64,34872.0,2022-10-24,998734
165,2022-09-16,N/A,28.61,19134.0,2022-10-21,547423
166,2022-09-15,N/A,28.13,39854.0,2022-10-20,1121093
167,2022-09-14,N/A,27.85,43241.0,2022-10-19,1204261
168,2022-09-13,N/A,29.24,26228.0,2022-10-18,766906
169,2022-09-09,N/A,25.83,14034.0,2022-10-14,362498
170,2022-09-08,N/A,24.04,106279.0,2022-10-13,2554947
171,2022-09-07,N/A,25.14,63387.0,2022-10-12,1593549
172,2022-09-06,N/A,27.36,66624.0,2022-10-11,1822832
173,2022-09-02,N/A,27.63,64598.0,2022-10-07,1784842
174,2022-09-01,N/A,28.64,150913.0,2022-10-06,4322148
175,2022-08-31,N/A,29.84,1735.0,2022-10-05,51772
176,2022-08-30,N/A,31.55,17906.0,2022-10-04,564934
177,2022-08-29,N/A,30.94,4674.0,2022-10-03,144613
178,2022-08-26,N/A,31.96,30409.0,2022-09-30,971871
179,2022-08-25,N/A,32.50,163480.0,2022-09-29,5313100
180,2022-08-24,N/A,33.53,38532.0,2022-09-28,1291977
181,2022-08-23,N/A,34.50,1.0,2022-09-27,34
182,2022-08-22,N/A,36.49,27176.0,2022-09-26,991652
183,2022-08-19,N/A,37.93,20959.0,2022-09-23,794974
184,2022-08-18,N/A,40.52,69932.0,2022-09-22,2833644
185,2022-08-17,N/A,42.19,22727.0,2022-09-21,958852
186,2022-08-16,N/A,39.68,21003.0,2022-09-20,833399
187,2022-08-15,N/A,40.74,10418.0,2022-09-19,424429
188,2022-08-12,N/A,39.45,236259.0,2022-09-16,9320417
189,2022-08-11,N/A,40.53,20895.0,2022-09-15,846874
190,2022-08-10,N/A,40.37,62664.0,2022-09-14,2529745
191,2022-08-09,N/A,43.45,26404.0,2022-09-13,1147253
192,2022-08-08,N/A,40.02,73219.0,2022-09-12,2930224
193,2022-08-05,N/A,38.36,328412.0,2022-09-09,12597884
194,2022-08-04,N/A,37.93,176124.0,2022-09-08,6680383
195,2022-08-03,N/A,35.84,83535.0,2022-09-07,2993894
196,2022-08-02,N/A,34.78,391123.0,2022-09-06,13603257
197,2022-08-01,N/A,34.01,54504.0,2022-09-05,1853681
198,2022-07-29,N/A,33.84,96749.0,2022-09-02,3273986
199,2022-07-28,N/A,33.78,492809.0,2022-09-01,16647088
200,2022-07-27,N/A,32.43,340421.0,2022-08-31,11039853
201,2022-07-26,N/A,33.98,1637150.0,2022-08-30,55630356
202,2022-07-25,N/A,143.12,244731.0,2022-08-29,35025900
203,2022-07-22,N/A,153.47,276992.0,2022-08-26,42509962
204,2022-07-21,N/A,158.75,266632.0,2022-08-25,42327830
205,2022-07-20,N/A,151.70,161282.0,2022-08-24,24466479
206,2022-07-19,N/A,146.64,150208.0,2022-08-23,22026501
207,2022-07-18,N/A,141.64,340437.0,2022-08-22,48219496
208,2022-07-15,N/A,136.20,345860.0,2022-08-19,47106131
209,2022-07-14,N/A,141.28,226676.0,2022-08-18,32024785
210,2022-07-13,N/A,137.12,8987.0,2022-08-17,1232297
211,2022-07-12,N/A,130.09,115995.0,2022-08-16,15089789
212,2022-07-11,N/A,128.54,94817.0,2022-08-15,12187777
213,2022-07-08,N/A,135.12,54420.0,2022-08-12,7353230
214,2022-07-07,N/A,117.43,15553.0,2022-08-11,1826388
215,2022-07-06,N/A,120.23,16618.0,2022-08-10,1997982
216,2022-07-05,N/A,123.42,32642.0,2022-08-09,4028675
217,2022-07-01,N/A,122.30,87428.0,2022-08-05,10692444
218,2022-06-30,N/A,122.86,113856.0,2022-08-04,13988348
219,2022-06-29,N/A,124.38,109380.0,2022-08-03,13604684
220,2022-06-28,N/A,129.69,69907.0,2022-08-02,9066238
221,2022-06-27,N/A,135.21,178243.0,2022-08-01,24100236
222,2022-06-24,N/A,142.02,155252.0,2022-07-29,22048889
223,2022-06-23,N/A,138.46,81460.0,2022-07-28,11278951
224,2022-06-22,N/A,140.28,136602.0,2022-07-27,19162528
225,2022-06-21,N/A,135.14,77044.0,2022-07-26,10411726
226,2022-06-17,N/A,125.73,183339.0,2022-07-22,23051212
227,2022-06-16,N/A,129.29,135565.0,2022-07-21,17527198
228,2022-06-15,N/A,126.17,258840.0,2022-07-20,32657842
229,2022-06-14,N/A,118.25,433998.0,2022-07-19,51320263
230,2022-06-13,N/A,129.09,673554.0,2022-07-18,86949085
231,2022-06-10,N/A,128.98,643323.0,2022-07-15,82975800
232,2022-06-09,N/A,138.73,589494.0,2022-07-14,81780502
233,2022-06-08,N/A,146.50,120200.0,2022-07-13,17609300
