,Sym,Price,Skew,Exp,depth,IV,OI,Direction
0,LRCX,722.71,690.0,08-04,-32.710000000000036,31.56535,46,游댠
1,NVDA,468.45,447.5,08-04,-20.94999999999999,39.7398,808,游댠
2,COST,564.15,550.0,08-04,-14.149999999999977,13.67325,157,游댠
3,SMCI,336.0,322.5,08-04,-13.5,63.65722,68,游댠
4,MA,393.35,380.0,08-04,-13.350000000000023,16.70485,15,游댠
5,FDX,269.48,260.0,08-04,-9.480000000000018,15.72507,199,游댠
6,ALB,208.89,200.0,08-04,-8.889999999999986,68.82245,19,游댠
7,CRM,226.0,217.5,08-04,-8.5,21.37797,24,游댠
8,BIDU,156.33,148.0,08-04,-8.330000000000013,27.47836,59,游댠
9,ABNB,153.35,146.0,08-04,-7.349999999999994,82.8326,267,游댠
10,SMH,160.89,154.0,08-04,-6.889999999999986,17.13663,87,游댠
11,AMZN,132.7,126.0,08-04,-6.699999999999989,60.55361,949,游댠
12,ORCL,116.14,110.0,08-04,-6.140000000000001,23.08455,62,游댠
13,XLK,177.94,172.0,08-04,-5.939999999999998,11.22551,40,游댠
14,ON,105.9,100.0,08-04,-5.900000000000006,59.57775,359,游댠
15,RCL,108.9,103.0,08-04,-5.900000000000006,32.8021,238,游댠
16,MRNA,118.75,113.0,08-04,-5.75,79.49678,15,游댠
17,LOW,235.59,230.0,08-04,-5.590000000000003,16.77475,100,游댠
18,BABA,101.2,96.0,08-04,-5.200000000000003,26.5357,1960,游댠
19,QCOM,129.66,135.0,08-04,5.340000000000003,59.58767,14425,游릭
20,ENPH,154.1,160.0,08-04,5.900000000000006,56.21838,673,游릭
21,CROX,108.01,114.0,08-04,5.989999999999995,46.16816,24,游릭
22,SPY,456.92,463.0,08-02,6.079999999999984,10.53363,1394,游릭
23,PANW,248.6,255.0,08-04,6.400000000000006,35.27135,600,游릭
24,HD,331.02,337.5,08-04,6.480000000000018,11.33058,34,游릭
25,ULTA,445.99,452.5,08-04,6.509999999999991,23.65918,156,游릭
26,AAPL,195.95,202.5,08-04,6.550000000000011,35.16281,7633,游릭
27,TXN,178.37,185.0,08-04,6.6299999999999955,22.28231,233,游릭
28,UNH,503.25,510.0,08-04,6.75,20.39777,653,游릭
29,MSFT,338.09,345.0,08-04,6.910000000000025,19.85384,913,游릭
30,XOP,140.92,148.0,08-04,7.0800000000000125,24.32382,0,游릭
31,META,325.575,335.0,08-04,9.425000000000011,34.03094,49,游릭
32,AMGN,236.4,247.5,08-04,11.099999999999994,30.48664,6,游릭
33,LULU,377.9,392.5,08-04,14.600000000000023,21.81328,8,游릭
34,DE,427.11,442.5,08-04,15.389999999999986,19.38774,0,游릭
35,URI,445.51,467.5,08-04,21.99000000000001,33.05578,1,游릭
36,ADBE,528.87,555.0,08-04,26.129999999999995,29.70164,4,游릭
